Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DCM,Chrome 70.0.3538.77,,2018-11-13 15:19:53,2018-11-13 15:20:23,30.438s,PASSED
,,,,,,
Test Cases/DCM/Testcase01_VerifyLoginSuccessfully,Chrome 70.0.3538.77,,2018-11-13 15:19:54,2018-11-13 15:20:23,29.721s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 70.0.3538.77,,2018-11-13 15:19:54,2018-11-13 15:19:54,0.306s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-11-13 15:19:55,2018-11-13 15:20:06,11.856s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-13 15:20:06,2018-11-13 15:20:07,1.037s,PASSED
maximizeWindow,Chrome 70.0.3538.77,,2018-11-13 15:20:07,2018-11-13 15:20:09,1.185s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-13 15:20:09,2018-11-13 15:20:10,0.883s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-13 15:20:10,2018-11-13 15:20:11,1.003s,PASSED
setEncryptedText,Chrome 70.0.3538.77,,2018-11-13 15:20:11,2018-11-13 15:20:11,0.549s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-13 15:20:11,2018-11-13 15:20:12,1.003s,PASSED
click,Chrome 70.0.3538.77,,2018-11-13 15:20:12,2018-11-13 15:20:18,5.826s,PASSED
delay,Chrome 70.0.3538.77,,2018-11-13 15:20:18,2018-11-13 15:20:21,3.002s,PASSED
verifyLinksAccessible,Chrome 70.0.3538.77,,2018-11-13 15:20:21,2018-11-13 15:20:23,2.412s,PASSED
